更新时间,#genre#
20251020 00:15,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001

央视频道,#genre#
CCTVplus1,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CharlotteCountyCCTVCharlotteCountyFA720p,https://cdn3.wowza.com/5/cHYzekYzM2kvTVFH/charlotte/G0055_009/playlist.m3u8
CCTVplus2,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL2.smil/playlist.m3u8
CCTV高网频道,http://sakura.dynv6.net:64785/rtp/239.110.205.16:9810
CCTVNewS,http://sakura.dynv6.net:64785/rtp/239.109.205.13:8032
JCN蔚山CCTV放送,https://jcnonair-1108.acs.wecandeo.com/ms/3162/1108/index_1.m3u8
CCTV20241,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV电视塔南,https://gcalic.v.myalicdn.com/gc/ztn_1/index.m3u8
CCTV电视塔东,https://gcalic.v.myalicdn.com/gc/ztd_1/index.m3u8
CCTV电视台综合频道澳门版,https://globallive.tdm.com.mo/cgtn/cgtn71/playlist.m3u8

地方卫视,#genre#
美国城市卫视,http://38.64.72.148:80/hls/modn/list/4028/chunklist0.m3u8
汉天卫视,http://38.64.72.148:80/hls/modn/list/4025/chunklist0.m3u8
明珠卫视o12,http://o12.1678520.xyz/hls/mzt/playlist.m3u8
海峡卫视福建,https://k44991.kylintv.tv/live/fjstv_iphone.m3u8
大湾区卫视海外,https://k44991.kylintv.tv/live/tvs_iphone.m3u8
客家卫视,http://123.51.136.80:8307/0.ts
十方法界卫视YT,https://www.youtube.com/watch?v=Gm8vEdtKadQ
香港卫视,http://player.cntv.cn/standard/live_HLSDRM20180606.swf?ChannelID=xianggangweishi&P2PChannelID=pd://cctv_p2p_hdxianggangweishi
凤凰卫视PhoenixTV,https://www.youtube.com/watch?v=HFib76ySpbU
凤凰卫视中文台凤凰秀,http://203.205.191.53/qctv.fengshows.cn/live/0701pcc72.m3u8
VOAFarsi美国VOA卫视波斯语频道,https://voa-ingest.akamaized.net/hls/live/2033876/tvmc07/playlist_1080.m3u8
莲花卫视,http://122.53.222.9:9981/stream/channelid/801543536?profile=pass
星空卫视122,http://122.53.222.9:9981/stream/channelid/2084767267?profile=pass
澳门莲花卫视122,http://122.53.222.9:9981/stream/channelid/801543536?profile=pass
北京卫视4k,http://49.235.65.250:600/beijing/beijing.php?id=bjws4k
凤凰卫视资讯台凤凰秀,http://203.205.191.53/qctv.fengshows.cn/live/0701pin72.m3u8
